"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"brunneicapillus"	"anthonyi"	"bryanti"	"guttatus"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.03	25.73	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.24	33.48	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.44	27.54	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.65	33.54	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.24	31.39	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.5	33.58	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.42	33.39	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-100.96	29.43	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.69	33.7	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.43	35.25	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.81	33.68	"unknown"	0	0	0	0	0	0	0	"none"
