"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"numSubsppGroups"	"assigned"
"Geococcyx velox (Wagner, 1836)"	-87.86	14.54	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.75	17.19	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-108.74	27.07	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.75	17.16	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.63	17.01	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.14	14.08	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-104.32	19.66	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.52	14.81	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.75	17.2	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.48	19.82	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-92.6	16.68	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.61	17.09	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.74	17.16	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-101.44	19.19	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.69	19.4	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.46	17.11	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.19	14.62	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-95.17	16.49	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.59	14.58	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-100.48	19.3	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-95.15	16.49	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-104.33	19.83	"velox"	1	1	"californianus"
