"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"fusca"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-99.12	19.6	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.4	19.86	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.51	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.29	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.87	19.49	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.24	19.26	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.02	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.16	19.5	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.79	19.51	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.65	18.99	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.02	19.26	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.89	19.12	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.12	19.47	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.52	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	19.4	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.33	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.22	18.99	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.86	19.62	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.19	18.94	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.74	20.07	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.97	"unknown"	1	0	1	"campoi"
