"name"	"longitude"	"latitude"	"subspecies"	"adusta"	"kenaiensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-122.58	38.58	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.03	38.32	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.47	38.32	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.97	37.24	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.82	38.41	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.82	38.45	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.81	38.44	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.6	38.22	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.08	37.53	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.82	36.87	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.97	37.99	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.95	37.4	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.54	37.95	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.36	37.17	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.96	36.59	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.75	36.82	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.89	36.6	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.04	38.24	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.18	37.38	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.45	37.67	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.98	37.43	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.1	37.43	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.75	37.22	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.09	37.56	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.83	36.59	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.36	37.99	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.18	37.36	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.18	37.39	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.1	37.45	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.07	37.64	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.02	38.23	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.49	37.58	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.25	37.54	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.47	37.79	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.43	37.81	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.41	37.22	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.06	38.52	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.96	37.44	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.52	38.03	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.96	37.55	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.43	37.41	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.49	37.62	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	37.12	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.98	37.42	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	37.88	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.65	38.94	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.65	38.93	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.24	38.51	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.49	37.71	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.69	38.89	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.68	38.88	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.13	38.19	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.43	37.69	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.24	37.4	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.34	37.79	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.87	37.24	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.95	37.41	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.82	38.43	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.3	38.33	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.12	38.43	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.06	38.33	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.06	38.3	"unknown"	0	1	1	"kenaiensis"
