"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"maculatum"	"oberholseri"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.95	27.03	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.94	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.32	28.12	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.63	27.15	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.44	27.77	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.91	27.86	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.94	27.5	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.26	27.23	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.81	27.96	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.08	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.94	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.92	27.09	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.13	26.35	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.93	28.62	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.58	28.62	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.72	28.58	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.97	27.48	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.4	27.15	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.87	27.92	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110	27.08	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.3	26.95	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.7	26.97	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.85	27.97	"maculatum"	0	1	0	1	"maculatum"
