"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"curvirostre"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-110.23	31.4	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.29	31.35	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.71	31.58	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.22	31.37	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.83	32.24	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.82	32.27	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.1	31.38	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.26	32.74	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.22	31.55	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.04	31.93	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.27	32.81	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.73	32.8	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.7	31.46	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.72	32.12	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.61	32.17	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.75	31.49	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.24	31.54	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.29	31.47	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.88	31.41	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.24	31.46	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.27	31.55	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.75	31.54	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.26	31.51	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.84	32.24	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.74	32.07	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.27	31.92	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.13	31.41	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.97	32.1	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-107.97	32.59	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.21	31.88	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.14	31.55	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.13	31.92	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.16	31.9	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.24	31.39	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.14	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.79	32.02	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.06	31.82	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.04	31.87	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.83	32.24	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.26	31.55	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.2	31.56	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.33	31.86	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.31	31.98	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.06	31.81	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.69	31.68	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.03	31.88	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.11	31.4	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.03	31.87	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre celsum"	-109.14	31.91	"unknown"	1	0	1	"celsum"
