"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"cleonensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia cleonensis McGregor, 1899"	-124.06	40.84	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.15	40.6	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.23	40.64	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.22	40.63	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.03	40.52	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.07	40.53	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-123.97	41.83	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124	40.76	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.14	40.87	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.09	40.86	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.12	40.98	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.05	41.55	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.06	40.54	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.16	40.79	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.19	40.79	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.06	40.84	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.25	41.76	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.11	41.84	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.05	40.85	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.23	40.64	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.13	40.96	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.15	40.79	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.03	40.52	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124	40.77	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.14	40.87	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.26	40.58	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.08	40.87	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.14	41.06	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.2	41.76	"cleonensis"	0	0	1	1	"cleonensis"
