"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"inexspectata"	"mailliardi"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-86.64	30.49	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.93	40.21	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-79.03	35.71	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-72.1	41.39	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-95.9	36.22	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-104.97	39.69	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.38	47.71	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-94.71	31.33	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-83.85	36	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.25	41.7	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.47	37.77	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.14	49.3	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.59	33.04	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.84	33.66	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-94.11	32.7	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.97	32.96	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.11	34.79	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.54	38.71	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.85	38.87	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.54	38.69	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.39	34.05	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.09	39.66	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.37	34	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.51	41.01	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-95.83	29.71	"unknown"	0	0	0	0	0	"none"
