"name"	"longitude"	"latitude"	"subspecies"	"atlantica"	"beata"	"kenaiensis"	"rivularis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-75.47	39.26	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.48	39.44	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.2	39.66	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.64	39.75	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.56	39.55	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.23	40.15	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.85	41.5	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.9	41.19	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.1	40.66	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.5	41.39	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.02	40.71	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.31	41.5	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.2	40.73	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.62	41.71	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74	40.3	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.3	39.87	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.04	40.01	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.45	39.46	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.68	40.1	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.22	40.12	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.96	40.67	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.1	39.8	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.48	41.38	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.46	40.08	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.43	40.11	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.56	40.59	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.42	40.48	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.46	41.82	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.46	39.27	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.57	41.37	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.59	39.94	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-70.7	41.99	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.09	41.76	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.17	40.72	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.13	40.6	"unknown"	1	0	0	0	1	"atlantica"
