"name"	"longitude"	"latitude"	"subspecies"	"medius"	"arizonae"	"numSubsppGroups"	"assigned"
"Vireo bellii bellii"	-88.11	41.39	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.87	40.99	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.39	26.6	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.03	18.9	"unknown"	0	0	0	"none"
"Vireo bellii"	-103.67	19.27	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.71	19.22	"unknown"	0	0	0	"none"
"Vireo bellii"	-82.51	41.92	"unknown"	0	0	0	"none"
"Vireo bellii"	-84.75	39.28	"unknown"	0	0	0	"none"
"Vireo bellii"	-74.93	38.95	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.3	26.63	"unknown"	0	0	0	"none"
"Vireo bellii"	-101.7	23.87	"unknown"	0	0	0	"none"
"Vireo bellii"	-76.21	35.49	"unknown"	0	0	0	"none"
"Vireo bellii"	-71.01	41.53	"unknown"	0	0	0	"none"
"Vireo bellii"	-71	41.52	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.69	38.26	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.1	14.39	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.3	44.67	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.27	41.75	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.54	41.74	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.66	35.51	"unknown"	0	0	0	"none"
"Vireo bellii"	-101	22.13	"unknown"	0	0	0	"none"
"Vireo bellii"	-97.2	37.18	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.01	37.91	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.57	42.03	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.39	41.77	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.7	41.97	"unknown"	0	0	0	"none"
"Vireo bellii bellii"	-83.39	33.94	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.26	35.24	"unknown"	0	0	0	"none"
"Vireo bellii"	-90.76	38.71	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.99	38.06	"unknown"	0	0	0	"none"
"Vireo bellii"	-90.68	38.84	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.38	41.77	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.03	38.76	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.51	41.78	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.05	44.39	"unknown"	0	0	0	"none"
"Vireo bellii"	-97.21	37.19	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.75	36.02	"unknown"	0	0	0	"none"
"Vireo bellii"	-83.21	39.93	"unknown"	0	0	0	"none"
"Vireo bellii"	-102.24	38.07	"unknown"	0	0	0	"none"
"Vireo bellii"	-82.52	41.97	"unknown"	0	0	0	"none"
"Vireo bellii"	-102.31	34.14	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.74	35.82	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.25	44.9	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.65	40.21	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.93	44.26	"unknown"	0	0	0	"none"
"Vireo bellii"	-82.72	27.64	"unknown"	0	0	0	"none"
