"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-106.47	31.86	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.62	33.51	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.48	29.46	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.95	32.38	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.75	32.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.11	30.19	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.33	29.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.68	32.23	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.06	27.96	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.06	32.14	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.78	32.21	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.79	32.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	28.04	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.76	32.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.43	31.99	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.72	32.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.89	31.78	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.86	30.66	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.26	31.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.29	29.41	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.98	32.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.31	24.1	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.32	24.1	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.73	32.19	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.73	26.35	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.9	29.37	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-109.71	23.72	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.43	28.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.35	31.94	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.04	31.92	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.24	26.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.44	29.19	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.82	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.95	32.35	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.32	29.68	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.42	33.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.96	32.39	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.15	25.87	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.91	32.42	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.16	25.86	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.17	32.24	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.92	32.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.82	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.73	25.46	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.09	27.96	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.65	32.13	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.23	31.82	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-97.71	27.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.13	31.92	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.44	27.53	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.83	32.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.7	25.7	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.32	29.46	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.63	32.09	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.2	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.21	32.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.99	28.26	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.28	29.56	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.74	25.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.83	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.37	29.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.93	29.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.08	29.64	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.47	25.78	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-102.07	32.04	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.12	32.22	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.15	31.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.11	26.53	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.85	26.68	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.66	21.24	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.29	31.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-109.89	22.93	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.04	25.88	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.95	32.04	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.56	26.71	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.96	32.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.05	29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.62	32.15	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.68	30.73	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.86	32.27	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.26	29.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.25	29.56	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.32	29.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.54	31.93	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.87	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.21	31.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.24	26.64	"unknown"	0	0	0	"none"
