"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-106.78	32.27	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.87	33.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.85	33.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.27	32.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.87	33.79	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.09	30.54	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.22	32.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.02	29.87	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.93	32.49	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.68	30.37	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.6	32.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.01	33.07	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104	30.62	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.59	32.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.73	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.95	32.94	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.78	32.39	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-102.74	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.05	32.38	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.87	33.82	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.08	33.32	"unknown"	0	0	0	"none"
