"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"seftoni"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-85.22	35.12	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.38	43.78	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.62	38.4	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.39	43.78	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-91.11	30.37	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.04	36.48	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.16	37.29	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-100.6	26.54	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-107.39	32.98	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.98	33.06	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-105.44	28.29	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-100.11	26.41	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.29	30.14	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.76	33.99	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.2	34.41	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-100.36	34.16	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.98	35.8	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-86.68	33.69	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-86.71	35.24	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.36	29.11	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-70.09	41.76	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-70.35	43.55	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.38	41.3	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-89.67	31.81	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.94	35.98	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.7	30.24	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94	38.71	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.47	32.83	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.62	34.23	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.15	33.13	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.37	33.79	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.38	33.9	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.42	35.2	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.68	29.58	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.66	33.26	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.1	39.62	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.41	36.95	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.55	44.66	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.09	46.41	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.09	32.99	"unknown"	0	0	0	0	"none"
