"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"opuntia"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-116.05	33.94	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.37	33.34	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.19	34.09	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.81	32.31	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.66	33.98	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.42	33.48	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.53	33.74	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.95	33.89	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.15	33.28	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.63	33.84	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.05	34	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.3	32.37	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.5	33.8	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.33	34.1	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.12	30.38	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.07	33.73	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.76	31.98	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.24	33.74	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-101.41	25.47	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.79	36.03	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.91	32.44	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.8	33.73	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.42	32.64	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.43	32.64	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.01	33.53	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.19	29.4	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.49	33.8	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.47	29.49	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.38	33.65	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.75	34.65	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.07	33.35	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.2	32.25	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.43	33.27	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.51	33	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.87	32.26	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.68	32.33	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.56	35.31	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.49	32.45	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.24	33.63	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.31	32.95	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.2	33.32	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.3	34.11	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.36	30.75	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.37	30.73	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.56	33.61	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-105.92	32.75	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.45	33.53	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.56	34.07	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.76	32.47	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.5	31.81	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.83	33.68	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.55	33.61	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.92	32.13	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.21	34.05	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.19	29.34	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.36	30.73	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.59	33.46	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.81	31.94	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.65	33.98	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.93	33.67	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.71	32.04	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.8	31.95	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.16	32.29	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-101.89	22.67	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.72	30.75	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.22	33.72	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.46	33.46	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.02	34.02	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.78	33.72	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.78	33.83	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.78	20.79	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.4	32.65	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.74	33.91	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.81	33.72	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.64	30.58	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.93	32.41	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.46	33.02	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.36	30.34	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.84	30.54	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.23	34.07	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.33	34.11	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.66	30.44	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-101.87	22.67	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-118.23	34.23	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.36	32.29	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.76	36.91	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.96	32.46	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.78	34.9	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.84	33.58	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.81	33.6	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.76	36.02	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.38	33.36	"unknown"	0	0	0	"none"
