"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"deserticola"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata bilineata"	-97.47	25.95	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-101.12	27.86	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.75	24	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.5	25.87	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.15	24.85	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.21	26.07	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.25	31.25	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.76	30.31	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.49	25.91	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.49	29.42	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.51	27.51	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.4	27.8	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.43	27.77	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.43	27.78	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.01	24.41	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-100.69	31.4	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.32	29.82	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-108.32	31.92	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.2	23.77	"bilineata"	0	1	1	"deserticola"
