"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-103.430512	29.180572	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.799338	33.693074	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.466009	33.452946	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.513626	36.430191	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.663384	32.221506	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.045869	33.937736	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.367707	33.338192	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.190269	34.090314	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.807925	32.311524	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.655129	33.981209	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.423984	33.480546	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.534876	33.740114	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.534539	33.739353	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.954942	33.89227	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.152531	33.279302	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.156144	33.278379	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.83989	33.761846	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.632411	33.84483	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.054495	33.995526	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.296308	32.367282	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.497847	33.796234	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.326004	34.101169	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.121558	30.375008	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.073142	33.733162	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.755815	31.981488	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.054658	33.773731	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.052803	33.772406	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.051064	33.771208	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.239525	33.740889	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.81136	32.313179	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.81072	32.319573	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-101.411385	25.465738	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.797946	30.445106	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.751463	32.474535	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.792227	36.033736	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.909647	32.436433	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.798255	33.730188	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.419463	32.638954	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.425211	32.64331	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.011543	33.534552	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.198813	34.04072	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.192948	29.402998	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.493921	33.798796	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.809397	33.73724	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.466942	29.491883	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.510511	26.515057	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.3767	33.647864	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.753178	34.649027	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.754245	34.648758	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.754303	34.648615	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.754352	34.648587	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.068018	33.350322	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.196578	32.25391	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.426263	33.271813	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.809863	32.322365	"unknown"	0	0	"none"
