"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
"2:44" -102.75 21.06 18.4895935058594 18.0586032867432 63.0807647705078 284.242919921875 32.1967506408691 3.56900000572205 28.6277503967285 21.007999420166 17.6956253051758 21.6375427246094 14.7128753662109 774 211 2 119.298194885254 534 14 378 28 1
"2:45" -90.12 20.22 26.3564167022705 13.5549163818359 67.6333999633789 193.342895507812 36.4422492980957 16.4004993438721 20.0417499542236 27.525333404541 26.0808334350586 28.4213333129883 23.7190837860107 1089 205 20 78.1750869750977 549 65 275 78 1
"2:46" -100.64 20.25 16.4045829772949 16.3507080078125 65.2046127319336 231.601837158203 28.5237503051758 3.44775009155273 25.076000213623 18.2194995880127 16.1773738861084 19.0596656799316 13.3160829544067 729 182 5 109.326461791992 470 22 173 29 1
"2:47" -87.15 14.24 20.3887805938721 10.8005628585815 66.1728210449219 162.162307739258 28.6557502746582 12.3339996337891 16.3217506408691 20.9815406799316 19.1723327636719 22.1527080535889 18.1701240539551 1161 191 14 71.6658706665039 487 56 392 78 1
"2:48" -103.45 19.79 19.1457710266113 15.4755411148071 64.8244552612305 219.720016479492 30.5692501068115 6.69624996185303 23.8730010986328 20.6784172058105 18.2037925720215 21.4931659698486 16.1092491149902 940 202 6 100.605628967285 559 22 402 55 1
"2:49" -103.76 20.01 14.6786670684814 13.5523748397827 62.0608139038086 226.884567260742 25.6857490539551 3.84850001335144 21.8372497558594 16.7195415496826 13.8842086791992 17.1343326568604 11.6196250915527 971 225 8 98.7602767944336 578 31 435 56 1
"2:50" -99.65 20.37 16.0955104827881 15.3787288665771 65.3669891357422 224.867797851562 27.6202507019043 4.0935001373291 23.5267505645752 17.7805004119873 13.119833946228 18.6165008544922 13.119833946228 530 100 6 83.9516754150391 284 25 172 25 1
"2:51" -99.26 18.61 24.9428863525391 17.2151050567627 66.6586761474609 210.705673217773 37.372501373291 11.5467500686646 25.8257522583008 25.8562507629395 22.3968753814697 27.6332931518555 22.2968330383301 988 208 3 109.829750061035 613 17 283 26 1
"2:52" -99.41 17.8 22.5572395324707 14.1675624847412 70.4687271118164 143.074920654297 32.9900016784668 12.8852500915527 20.1047515869141 22.6688327789307 21.7456665039062 24.4140434265137 20.8461246490479 955 207 3 104.378768920898 585 17 250 38 1
"2:53" -103.68 22.34 18.9632396697998 18.6870212554932 62.843620300293 344.868774414062 33.211498260498 3.47574996948242 29.7357482910156 22.3935832977295 17.478458404541 22.7857494354248 14.4225416183472 617 159 2 109.580490112305 403 16 268 54 1
"2:54" -101.99 21.23 18.1156139373779 17.5472297668457 62.8336143493652 295.7958984375 31.525749206543 3.59925007820129 27.9264984130859 20.7591667175293 17.4486675262451 21.3643741607666 14.1727495193481 585 142 4 104.79328918457 373 22 269 31 1
