"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"hidalgensis"	"lamprocephalus"	"ornatus"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps (Sundevall, 1850)"	-115.78	33.84	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.49	32.63	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.42	33.69	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.38	33.72	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.45	33.8	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.24	32.84	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.23	33.75	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.45	33.77	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.37	33.25	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.5	33.06	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.36	33.75	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.41	33.76	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.5	33.82	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.24	33.72	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.26	33.65	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.6	32.79	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.31	34.12	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.42	33.75	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.67	33.13	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.65	33.05	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.68	33.89	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.81	33.74	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.58	34.04	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.52	33.86	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.39	33.74	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-115.71	33.09	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.13	34	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.4	33.21	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.56	33.81	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.56	33.76	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-115.51	32.62	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.16	34.02	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-115.9	33.87	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.54	33.84	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.13	34.12	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.27	34.13	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.57	34.05	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-115.9	33.49	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.19	33.75	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-117.18	34.02	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.95	32.67	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.54	33.78	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.54	33.79	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.26	33.67	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.32	33.66	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.55	33.76	"unknown"	1	0	0	0	0	1	"acaciarum"
