"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.19405	32.80709	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.451616	33.961816	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.008665	34.108356	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.000095	37.295886	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.427854	37.806883	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.776558	30.436321	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.107117	37.458236	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.213864	34.201734	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.704073	36.690833	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.103292	39.195903	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.103462	39.195908	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.330026	47.788839	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.094773	37.403067	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.094938	37.402997	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.106666	32.588244	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.106229	32.588144	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.829372	36.575919	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.900992	33.873415	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.806713	39.461135	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.025877	30.383838	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.179268	40.040733	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.179296	40.040742	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.179288	40.040709	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.179267	40.04073	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-94.12273	38.437197	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-94.148134	38.440907	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.436123	28.289512	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.059028	33.997228	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.702089	34.157618	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.701159	34.157554	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.048258	32.736478	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.517786	34.03124	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.080994	37.551006	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-82.417233	29.782532	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.350515	38.553423	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.289199	34.146799	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.284028	34.147986	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114.764312	32.498411	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.719143	38.391497	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.741481	32.36775	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.295397	38.012788	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.338997	37.909663	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.015667	38.306611	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.248937	32.754641	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.323992	34.380708	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.062187	38.667121	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.360086	36.438872	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.029743	36.953178	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.2295	34.069336	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.394796	33.803627	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.483609	28.259413	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.242638	32.755459	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-86.621445	30.484446	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-109.725784	31.560566	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.350606	38.553374	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.291627	41.348093	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.94117	36.622413	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.349614	34.541056	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.752135	33.795139	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.071843	37.435806	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.811279	34.226179	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.416064	35.051729	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.217048	38.634017	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.054677	38.912507	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.542894	34.409869	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.485574	37.50006	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.446288	37.47689	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.824965	38.019341	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-90.76928	35.351058	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.250213	32.891413	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.25035	32.891438	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.250228	32.891395	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.055789	36.43595	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.037319	36.478001	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.775662	33.65249	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.451712	33.962867	"unknown"	0	0	"none"
